DATA SET,DATE,PLAYER,"OWN
TEAM","OPPONENT
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2013-2014 Regular Season,4/11/14,Trevor Ariza,Washington,Orlando,R,27.49,3,10,0,4,2,2,1,2,3,2,2,1,0,0,8
2013-2014 Regular Season,4/11/14,Trevor Booker,Washington,Orlando,R,28.07,7,10,0,0,0,0,1,2,3,0,0,0,1,1,14
2013-2014 Regular Season,4/11/14,Marcin Gortat,Washington,Orlando,R,30.94,4,12,0,0,4,4,2,4,6,3,3,0,3,1,12
2013-2014 Regular Season,4/11/14,Bradley Beal,Washington,Orlando,R,35.35,4,10,2,5,6,10,2,2,4,1,4,3,1,0,16
2013-2014 Regular Season,4/11/14,John Wall,Washington,Orlando,R,37.12,3,10,0,5,4,4,1,4,5,12,3,0,1,1,10
2013-2014 Regular Season,4/11/14,Nene Hilario,Washington,Orlando,R,19.92,7,11,0,0,3,6,1,2,3,2,0,1,2,1,17
2013-2014 Regular Season,4/11/14,Martell Webster,Washington,Orlando,R,7.52,0,2,0,1,1,2,0,0,0,0,0,1,1,0,1
2013-2014 Regular Season,4/11/14,Otto Porter,Washington,Orlando,R,25.75,4,10,0,2,1,1,3,6,9,0,1,0,0,0,9
2013-2014 Regular Season,4/11/14,Al Harrington,Washington,Orlando,R,16.99,3,7,0,2,3,4,2,7,9,0,0,1,1,0,9
2013-2014 Regular Season,4/11/14,Garrett Temple,Washington,Orlando,R,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014 Regular Season,4/11/14,Andre Miller,Washington,Orlando,R,10.87,0,0,0,0,0,0,0,2,2,4,6,0,2,0,0
2013-2014 Regular Season,4/11/14,Maurice Harkless,Orlando,Washington,H,30.44,1,4,0,1,0,0,0,2,2,0,3,0,1,0,2
2013-2014 Regular Season,4/11/14,Kyle O'Quinn,Orlando,Washington,H,24.54,6,9,0,0,1,4,2,7,9,1,2,0,1,3,13
2013-2014 Regular Season,4/11/14,Dewayne Dedmon,Orlando,Washington,H,24.92,1,7,0,0,2,2,4,6,10,1,3,1,1,1,4
2013-2014 Regular Season,4/11/14,Arron Afflalo,Orlando,Washington,H,31.24,6,14,1,4,6,6,0,2,2,1,0,1,2,0,19
2013-2014 Regular Season,4/11/14,Jameer Nelson,Orlando,Washington,H,33.97,5,16,0,5,2,4,2,5,7,11,4,2,4,0,12
2013-2014 Regular Season,4/11/14,Andrew Nicholson,Orlando,Washington,H,22.15,2,8,0,1,0,0,2,3,5,1,6,1,0,0,4
2013-2014 Regular Season,4/11/14,Doron Lamb,Orlando,Washington,H,19.12,4,5,3,4,0,0,0,1,1,1,2,1,0,0,11
2013-2014 Regular Season,4/11/14,Victor Oladipo,Orlando,Washington,H,16,3,5,0,0,0,0,0,2,2,1,5,2,3,0,6
2013-2014 Regular Season,4/11/14,Tobias Harris,Orlando,Washington,H,24.4,4,7,0,2,2,2,0,3,3,2,5,1,2,1,10
2013-2014 Regular Season,4/11/14,E'Twaun Moore,Orlando,Washington,H,13.25,0,2,0,2,5,6,0,1,1,2,1,0,2,0,5
2013-2014 Regular Season,4/11/14,Carmelo Anthony,New York,Toronto,R,38.89,8,17,1,3,13,14,1,7,8,3,3,3,2,0,30
2013-2014 Regular Season,4/11/14,Amar'e Stoudemire,New York,Toronto,R,39.87,10,14,0,0,4,6,3,8,11,0,3,0,0,1,24
2013-2014 Regular Season,4/11/14,Tyson Chandler,New York,Toronto,R,29.85,1,2,0,0,4,4,0,7,7,1,3,0,2,0,6
2013-2014 Regular Season,4/11/14,J.R. Smith,New York,Toronto,R,36.4,4,10,3,9,4,4,0,1,1,1,4,0,2,1,15
2013-2014 Regular Season,4/11/14,Raymond Felton,New York,Toronto,R,31.45,4,12,0,3,4,4,1,1,2,4,1,0,0,0,12
2013-2014 Regular Season,4/11/14,Iman Shumpert,New York,Toronto,R,27.72,4,9,0,3,3,4,1,4,5,1,6,2,0,0,11
2013-2014 Regular Season,4/11/14,Tim Hardaway,New York,Toronto,R,12.22,2,5,0,3,0,0,1,0,1,1,1,0,1,0,4
2013-2014 Regular Season,4/11/14,Cole Aldrich,New York,Toronto,R,6.54,0,1,0,0,0,0,0,2,2,0,1,0,0,1,0
2013-2014 Regular Season,4/11/14,Pablo Prigioni,New York,Toronto,R,17.09,2,3,2,3,0,0,0,2,2,5,2,1,1,0,6
2013-2014 Regular Season,4/11/14,Terrence Ross,Toronto,New York,H,28.29,4,12,3,10,2,2,1,1,2,0,5,0,2,0,13
2013-2014 Regular Season,4/11/14,Amir Johnson,Toronto,New York,H,17.05,0,1,0,0,0,0,0,3,3,2,1,0,0,1,0
2013-2014 Regular Season,4/11/14,Jonas Valanciunas,Toronto,New York,H,37.47,5,14,0,0,4,7,8,13,21,0,2,1,1,1,14
2013-2014 Regular Season,4/11/14,DeMar DeRozan,Toronto,New York,H,42.89,6,18,2,4,12,13,1,4,5,5,2,0,4,0,26
2013-2014 Regular Season,4/11/14,Kyle Lowry,Toronto,New York,H,38.89,7,13,4,7,7,9,1,1,2,2,3,0,3,0,25
2013-2014 Regular Season,4/11/14,Patrick Patterson,Toronto,New York,H,15.5,2,3,2,2,0,0,1,1,2,1,5,0,2,0,6
2013-2014 Regular Season,4/11/14,Greivis Vasquez,Toronto,New York,H,19.45,2,6,2,4,0,0,0,2,2,3,0,0,2,1,6
2013-2014 Regular Season,4/11/14,John Salmons,Toronto,New York,H,22.95,4,7,2,5,0,0,1,1,2,2,3,0,0,0,10
2013-2014 Regular Season,4/11/14,Tyler Hansbrough,Toronto,New York,H,7.64,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
2013-2014 Regular Season,4/11/14,Chuck Hayes,Toronto,New York,H,6.57,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
2013-2014 Regular Season,4/11/14,Steve Novak,Toronto,New York,H,3.34,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0
2013-2014 Regular Season,4/11/14,Michael Kidd-Gilchrist,Charlotte,Boston,R,19.8,5,9,0,0,0,1,2,4,6,3,4,1,0,2,10
2013-2014 Regular Season,4/11/14,Josh McRoberts,Charlotte,Boston,R,30.4,3,5,3,4,0,0,0,3,3,10,2,0,3,0,9
2013-2014 Regular Season,4/11/14,Al Jefferson,Charlotte,Boston,R,39.34,16,26,0,0,0,0,2,8,10,4,2,1,3,0,32
2013-2014 Regular Season,4/11/14,Gerald Henderson,Charlotte,Boston,R,24.74,4,8,2,2,1,2,1,2,3,3,4,0,2,0,11
2013-2014 Regular Season,4/11/14,Luke Ridnour,Charlotte,Boston,R,31.15,4,9,1,3,0,0,0,2,2,5,1,3,0,0,9
2013-2014 Regular Season,4/11/14,Cody Zeller,Charlotte,Boston,R,17.6,1,3,0,0,1,2,2,1,3,0,1,1,1,0,3
2013-2014 Regular Season,4/11/14,Gary Neal,Charlotte,Boston,R,23.32,6,8,1,1,0,0,0,0,0,2,1,1,0,0,13
2013-2014 Regular Season,4/11/14,Jannero Pargo,Charlotte,Boston,R,16.87,2,10,0,4,0,0,0,2,2,4,1,3,2,0,4
2013-2014 Regular Season,4/11/14,Chris Douglas-Roberts,Charlotte,Boston,R,28.17,3,8,0,4,6,7,0,2,2,2,0,2,1,0,12
2013-2014 Regular Season,4/11/14,Bismack Biyombo,Charlotte,Boston,R,8.64,0,1,0,0,0,0,0,3,3,0,4,0,0,2,0
2013-2014 Regular Season,4/11/14,Jeff Green,Boston,Charlotte,H,34.1,8,11,1,1,1,1,0,3,3,3,4,1,6,0,18
2013-2014 Regular Season,4/11/14,Brandon Bass,Boston,Charlotte,H,34.37,7,12,0,0,4,4,3,6,9,3,0,0,0,2,18
2013-2014 Regular Season,4/11/14,Jared Sullinger,Boston,Charlotte,H,28.09,8,13,2,4,2,2,1,6,7,0,2,1,3,1,20
2013-2014 Regular Season,4/11/14,Avery Bradley,Boston,Charlotte,H,37.59,8,16,4,6,2,2,0,2,2,1,2,2,3,0,22
2013-2014 Regular Season,4/11/14,Phil Pressey,Boston,Charlotte,H,39.39,4,11,2,6,0,0,0,5,5,13,1,3,4,0,10
2013-2014 Regular Season,4/11/14,Jerryd Bayless,Boston,Charlotte,H,18.92,0,4,0,2,2,2,1,0,1,2,2,0,1,0,2
2013-2014 Regular Season,4/11/14,Kris Humphries,Boston,Charlotte,H,11.44,2,5,0,0,0,0,2,5,7,0,1,0,0,0,4
2013-2014 Regular Season,4/11/14,Kelly Olynyk,Boston,Charlotte,H,22.09,4,6,2,3,2,2,0,2,2,0,2,0,2,0,12
2013-2014 Regular Season,4/11/14,Chris Johnson,Boston,Charlotte,H,14.05,0,1,0,1,0,0,0,1,1,0,2,0,1,0,0
2013-2014 Regular Season,4/11/14,DeMarre Carroll,Atlanta,Brooklyn,R,36.77,6,11,0,3,0,0,2,9,11,0,2,0,2,0,12
2013-2014 Regular Season,4/11/14,Paul Millsap,Atlanta,Brooklyn,R,37.3,10,19,1,2,6,6,4,6,10,2,3,1,1,2,27
2013-2014 Regular Season,4/11/14,Elton Brand,Atlanta,Brooklyn,R,22.4,2,2,0,0,0,0,0,3,3,2,3,2,0,4,4
2013-2014 Regular Season,4/11/14,Kyle Korver,Atlanta,Brooklyn,R,37.49,1,8,0,5,1,1,0,7,7,2,2,0,3,1,3
2013-2014 Regular Season,4/11/14,Jeff Teague,Atlanta,Brooklyn,R,33.6,7,15,0,3,8,8,0,3,3,3,3,1,2,1,22
